title,group,tag,lowercase_word,N
Descartes_1,1,PRT,open,1
Descartes_1,1,PRT,produces?7,1
Descartes_1,1,PRT,together,1
Descartes_1,1,PRT,withhold,1
Descartes_1,1,VERB,is,3212
Descartes_1,1,VERB,be,1514
Descartes_1,1,VERB,can,872
Descartes_1,1,VERB,have,699
Descartes_1,1,VERB,are,684
Descartes_1,1,VERB,will,441
Descartes_1,1,VERB,has,421
Descartes_1,1,VERB,was,405
Descartes_1,1,VERB,does,327
Descartes_1,1,VERB,would,297
Descartes_1,1,VERB,could,277
Descartes_1,1,VERB,descartes,277
Descartes_1,1,VERB,being,256
Descartes_1,1,VERB,see,256
Descartes_1,1,VERB,must,235
Descartes_1,1,VERB,should,234
Descartes_1,1,VERB,s,231
Descartes_1,1,VERB,might,221
Descartes_1,1,VERB,do,210
Descartes_1,1,VERB,may,210
Descartes_1,1,VERB,say,195
Descartes_1,1,VERB,been,154
Descartes_1,1,X,–,494
Descartes_1,1,X,-,381
Descartes_1,1,X,cf.,41
Descartes_1,1,X,etc,41
Descartes_1,1,X,de,35
Descartes_1,1,X,a,32
Descartes_1,1,X,priori,23
Descartes_1,1,X,i,22
Descartes_1,1,X,cogito,20
Descartes_1,1,X,3,19
Descartes_1,1,X,1,18
Descartes_1,1,X,’,17
Descartes_1,1,X,. . .,16
Descartes_1,1,X,b,16
Descartes_1,1,X,etc.,16
Descartes_1,1,X,2,15
Descartes_1,1,X,iii,15
Descartes_1,1,X,.,14
Descartes_1,1,X,4,12
Descartes_1,1,X,i.e.,12
Descartes_1,1,X,la,12
Descartes_1,1,X,e.g.,11
Descartes_1,1,X,like,11
Descartes_1,1,X,ii,10
Descartes_1,1,X,re,8
Descartes_1,1,X,‘,8
Descartes_1,1,X,et,7
Descartes_1,1,X,iv,7
Descartes_1,1,X,v,7
Descartes_1,1,X,l,6
Descartes_1,1,X,[,5
Descartes_1,1,X,c,5
Descartes_1,1,X,):,4
Descartes_1,1,X,dicto,2
Descartes_1,1,X,p.,2
Descartes_1,1,X,vis,2
Descartes_1,1,X,anima,1
Descartes_1,1,X,ed,1
Descartes_1,1,X,esprit,1
Descartes_1,1,X,evidentissimè,1
Essays_and_Reviews,0,.,",",13587
Essays_and_Reviews,0,.,.,6003
Essays_and_Reviews,0,.,:,790
